@relation spamClassification

@attribute stdDomains numeric
@attribute meanDomains numeric
@attribute stdCountries numeric
@attribute meanCountries numeric
@attribute encodersCount numeric
@attribute clicksCount numeric
@attribute isSpam {True,False}

@data
7.0,11.0,6.342,7.333,19,22,False
63.0,105.0,51.44,23.33,1,210,False
10.1,14.0,24.32,14.0,1,84,False
0.0,9.0,0.0,9.0,2,9,False
2.0,17.0,10.0,17.0,2,34,False
55.46,36.33,51.47,16.77,2,218,False
0.0,3.0,0.0,3.0,5,3,False
3.0,25.0,6.176,4.167,1,50,False
9.0,14.0,9.823,7.0,2,28,False
3.203e+03,1.18e+03,3.513e+03,993.8,1,18883,False
541.2,288.1,282.0,57.6,3,2191,True
2.0,4.0,1.0,4.0,5,8,False
30.54,26.0,35.36,26.0,1,78,False
0.0,14.0,6.0,7.0,2,14,False
4.784,7.667,2.722,2.3,7,23,False
57.5,47.0,5.462,3.032,2,188,False
218.5,795.5,100.8,54.86,1,1591,False
38.88,21.29,28.2,13.55,2,149,False
109.1,96.33,22.32,8.758,1,290,False
0.0,2.0,0.0,1.0,1,2,False
217.2,120.7,178.2,40.23,1,1207,False
0.0,5.0,1.5,2.5,1,5,False
19.51,28.0,9.091,4.941,162,84,False
174.8,169.0,77.48,36.21,3,507,False
95.99,96.75,43.01,15.48,1,387,False
0.0,3.0,0.0,3.0,9,3,True
59.0,92.0,48.46,20.33,1,182,False
4.5,14.5,8.134,5.8,1,29,False
14.0,23.0,9.437,4.182,1,46,False
241.0,427.0,142.6,35.58,5,854,False
1.71e+03,896.2,325.2,50.31,2,59922,False
9.0,20.0,11.79,6.667,2,40,False
12.3,8.75,11.71,8.75,1,35,False
28.5,32.5,5.636,2.6,4,73,True
13.59,7.667,18.19,11.5,1,46,False
0.0,17.0,7.5,8.5,2,17,False
3.536,5.0,0.0,20.0,1,20,False
78.07,39.67,40.48,26.44,1,238,False
0.0,4.0,1.0,2.0,1,4,False
0.0,4.0,0.4714,1.333,2,4,True
26.86,19.5,37.0,39.0,6,698,False
20.93,18.25,20.56,12.17,2,73,False
5.5,20.5,4.5,20.5,1,41,False
1.797e+03,478.9,1.233e+03,364.0,2,9100,False
261.0,195.0,104.2,30.79,3,585,False
165.5,355.5,86.01,30.91,2,724,False
0.5,1.5,0.5,1.5,3,3,True
0.0,2.0,0.0,1.0,1,2,False
